"CREATIONDATE","OBJECTDESC","TITLE","CLOSEDDATETIME","CASECLOSUREREASONDESCRIPTION"
"2025-03-06 00:00:00","2909 N RICHARDS ST, MILWAUKEE, WI, 53212-0000","Bulky Pickup & San Inspector Notification","2025-03-06 00:00:00","carts not being collected, neighbor requesting inspector due to overflowing carts, possibly contaminated"
"2025-03-06 00:00:00","2737 S HOWELL AV, MILWAUKEE, WI, 53207-2013","Collection Schedule - Garbage and Recycling","",""
"2025-03-06 00:00:00","5440 N 13TH ST, MILWAUKEE, WI, 53209-5110","Area Dark","2025-03-06 00:00:00","Entire BLock. Caller states they heard a loud boom this Tuesday and the lights went out"
"2025-03-06 00:00:00","2029 W VINE ST, MILWAUKEE, WI, 53205-1564","Street Light Out","2025-03-08 00:00:00","street light out for 3 nights"
"2025-03-06 00:00:00","4000 W BURNHAM ST, MILWAUKEE, WI, 53215-2031","Potholes","","Big pothole right on the railroad tracks just before Miller Park Way"
"2025-03-06 00:00:00","3273 N 44TH ST, MILWAUKEE, WI, 53216-3541","Scattered Litter and Debris on Private Property","2025-03-07 00:00:00","Garbage debris scattered near alley and rear yard"
"2025-03-06 00:00:00","1715 N 28TH ST, MILWAUKEE, WI, 53208-2006","Scattered Litter and Debris on Private Property","2025-03-06 00:00:00","Alley. Since Sunday Large Move out items"
"2025-03-06 00:00:00","4938 N 66TH ST, MILWAUKEE, WI, 53218-4034","Bulky Pickup & San Inspector Notification","2025-03-07 00:00:00","OWNER STATES HAS APPROX 14 BAGS OF TRASH AT ALLEY LINE FOR COLLECTION, AWARE OF FEES"
"2025-03-06 00:00:00","2858 N 60TH ST, MILWAUKEE, WI, 53210-2105","INFO ONLY: Garbage Disposal Info Request","2025-03-06 00:00:00",""
"2025-03-06 00:00:00","3660 S 79TH ST, MILWAUKEE, WI, 53220-1014","Collection Schedule - Garbage and Recycling","",""
"2025-03-06 00:00:00","324 N JACKSON ST, MILWAUKEE, WI, 53202-5904","Potholes","2025-03-06 00:00:00","From 324 Jackson St. to 302 Jackson St. there are at least 8 potholes that need to be repaired."
"2025-03-06 00:00:00","3025 N 78TH ST, MILWAUKEE, WI, 53222-5024","Street Light Out","2025-03-08 00:00:00",""
"2025-03-06 00:00:00","3959 S TAYLOR AV","Street Light Out","2025-03-07 00:00:00","The light at the listed location is out again. Don't know if it was struck by a falling branch during last night's storm ."
"2025-03-06 00:00:00","815 E BRADY ST, MILWAUKEE, WI, 53202-1510","Potholes","2025-03-07 00:00:00","This is a giant pothole. It is rectangular in shape and seems to have been filled in with asphalt that subsequently collapsed inward (like a sinkhole?). Due to the asphalt filling, it is hard to see the depth and danger of this pothole. (From a distance it sort of looks like it has been adequately repaired and safe to drive across.)Yesterday, while driving the speed limit, I popped both passenger-side tires on my vehicle!"
"2025-03-06 00:00:00","1427 N 49TH ST","Street Light Out","2025-03-06 00:00:00","Street lights out in the 1400 block of North 49th Street"
"2025-03-06 00:00:00","1441 N 49TH ST, MILWAUKEE, WI, 53208-2250","Area Dark","","Entire block is dark at night!"
"2025-03-06 00:00:00","3551 S 80TH ST, MILWAUKEE, WI, 53220-1015","Street Light Out","2025-03-07 00:00:00","I reported last week lights they were fix.  They are out again 3531 S. 80th 53220"
"2025-03-06 00:00:00","3771 N 50TH ST, MILWAUKEE, WI, 53216-2932","Garbage Cart: Damaged","","Garbage truck took broken cart"
"2025-03-06 00:00:00","6407 N 67TH ST, MILWAUKEE, WI, 53223-0000","Potholes","2025-03-07 00:00:00","Huge pothole right in front of apartment building."
"2025-03-06 00:00:00","6441 N 67TH ST, MILWAUKEE, WI, 53223-5764","Potholes","2025-03-07 00:00:00",""
"2025-03-05 00:00:00","9912 W SARASOTA PL, MILWAUKEE, WI, 53222-1459","Clogged Catch Basin/Surface Flooding","2025-03-05 00:00:00","Drain is clogged in alley and it's coming into my garage. It's bad"
"2025-03-05 00:00:00","2556 S 61ST ST, MILWAUKEE, WI, 53219-2623","Area Dark","","Street lights went out at 3:30am."
"2025-03-05 00:00:00","3250 S 21ST ST, MILWAUKEE, WI, 53215-4451","Street Light Out","2025-03-05 00:00:00","Street lights have been out since 2 weeks ago. Can you do something about it? It's dangerous walking my dog with this darkness."
"2025-03-05 00:00:00","234 W ALLERTON AV, MILWAUKEE, WI, 53207-4912","Clogged Catch Basin/Surface Flooding","2025-03-05 00:00:00","North, West corner. Completely clogged catch basin"
"2025-03-05 00:00:00","1226 N 25TH ST, MILWAUKEE, WI, 53205-2426","Clogged Catch Basin/Surface Flooding","2025-03-05 00:00:00","Surface flooding reported."
"2025-03-05 00:00:00","413 W SCOTT ST, MILWAUKEE, WI, 53204-2455","All Other Signs","","one way traffic sign is down in median on 5th and Scott St."
"2025-03-05 00:00:00","4215 S WHITNALL AV","Clogged Catch Basin/Surface Flooding","2025-03-05 00:00:00","Sewers are clogged. Intersection/street is flooded"
"2025-03-05 00:00:00","4224 S WHITNALL AV","Light Pole Cover Open","2025-03-05 00:00:00","Cover on light pole electrical box is removed."
"2025-03-05 00:00:00","303 W ALLERTON AV, MILWAUKEE, WI, 53207-4913","Street Light Cycling","2025-03-06 00:00:00",""
"2025-03-05 00:00:00","4249 N 87TH ST, MILWAUKEE, WI, 53222-1710","Backwater","2025-03-05 00:00:00",""
"2025-03-05 00:00:00","3245 N 24TH ST, MILWAUKEE, WI, 53206-1215","Street Light Out","2025-03-06 00:00:00","Street light out. Needs replaced"
"2025-03-05 00:00:00","3223 N 86TH ST, MILWAUKEE, WI, 53222-3711","Clogged Catch Basin/Surface Flooding","2025-03-05 00:00:00","Sewer is plugged, flooding the alleyway. Alley is across from 3223 N 86th beside the church"
"2025-03-05 00:00:00","4584 N HOUSTON AV, MILWAUKEE, WI, 53218-4556","Garbage Cart: Delete","2025-03-06 00:00:00","I have an extra garbage and recycling cart I no longer need. Please pick up the extra garbage and recycling cart. Please take the carts that are closest to the curb. I want to keep the ones near the garage. Thanks"
"2025-03-05 00:00:00","7550 W PERKINS PL, MILWAUKEE, WI, 53216-1024","Hanging Light Fixture Arm","2025-03-05 00:00:00","On 76th and perkins"
"2025-03-05 00:00:00","4584 N HOUSTON AV, MILWAUKEE, WI, 53218-4556","Recycling Cart: Delete","2025-03-06 00:00:00","I have extra recycling and garbage carts I no longer need. Please pick up the extra recycling and garbage cart. Please take the carts that are closest to the curb. I want the ones near the garage."
"2025-03-05 00:00:00","3630 N 78TH ST, MILWAUKEE, WI, 53222-3016","Clogged Catch Basin/Surface Flooding","2025-03-05 00:00:00","Surface flooding in the alley."
"2025-03-05 00:00:00","4425 N 62ND ST, MILWAUKEE, WI, 53218-5545","Clogged Catch Basin/Surface Flooding","2025-03-05 00:00:00","Alley flooded between 62nd and Congress and 63rd and Congress.  4425 N 62nd street"
"2025-03-05 00:00:00","4190 N 17TH ST","Clogged Catch Basin/Surface Flooding","2025-03-05 00:00:00","Street ponding at SEC of Olive and 17th, in addition to multiple locations in Rufus King Neighborhood along 16th and 15th north of Capitol Drive.  It appears erosion control inlet protection may be clogged. Underground communication work in the area has been ongoing and the WDNR should do an erosion control check, as there has been debris in the road.  No inspections and no EC maintenance appear to have occurred. Roads are in poor condition and need resurfacing/reconstruction too"
"2025-03-05 00:00:00","4450 N 58TH ST, MILWAUKEE, WI, 53218-5610","Backwater","2025-03-05 00:00:00","Operator contacted M5 at 708-7339."
"2025-03-05 00:00:00","3358 N 54TH ST, MILWAUKEE, WI, 53216-3110","Recycling Cart: Missing","","Our 1 recycle bin has gone missing. we have always had 2 and now there is just the one."
"2025-03-05 00:00:00","1919 N 24TH ST, MILWAUKEE, WI, 53205-1433","Garbage Cart: Damaged","","2nd request! Carts are damaged with squirrel holes in lid and bottom of cart. With abroken handle. Remove and replace."
"2025-03-05 00:00:00","3833 W CAPITOL DR, MILWAUKEE, WI, 53216-2540","***FIELD USE ONLY*** Crew-Reported Pothole","2025-03-05 00:00:00",""
"2025-03-05 00:00:00","6014 N 64TH ST, MILWAUKEE, WI, 53218-1537","Clogged Catch Basin/Surface Flooding","2025-03-05 00:00:00","Clogged catch basin at the north west corner of 64th & florist"
"2025-03-05 00:00:00","2454 N 23RD ST, MILWAUKEE, WI, 53206-1524","City-Owned Building Cleanup","2025-03-06 00:00:00","Remove all debris from in back of the city owned property and in the alley"
"2025-03-05 00:00:00","5031 N 61ST ST, MILWAUKEE, WI, 53218-4110","Sanitation Inspector Callback","2025-03-06 00:00:00","REC#5264342- Caller would like a callback to discuss what kind of garbage was in RC."
"2025-03-05 00:00:00","5031 N 61ST ST, MILWAUKEE, WI, 53218-4110","Recycling Cart: Damaged","2025-03-06 00:00:00","Crack in RC"
"2025-03-04 00:00:00","1801 W OLIVE ST, MILWAUKEE, WI, 53209-6840","Area Dark","2025-03-04 00:00:00","Hi, wanted to let you know that there are some streetlights out on W. Olive st. between N.15TH thru N.18TH st. , please send someone out to fix. thanks"
"2025-03-04 00:00:00","4726 W VLIET ST, MILWAUKEE, WI, 53208-2628","Area Dark","","AREA DARK // OBSERVED 03/04/25 0030 // CHECK FOR LOCAL CIRCUIT TROUBLE"
"2025-03-04 00:00:00","5502 W WASHINGTON BL, MILWAUKEE, WI, 53208-1645","Area Dark","2025-03-04 00:00:00","AREA DARK // OBSERVED 03/04/25 0030 // CHECK FOR LOCAL CIRCUIT TROUBLE"
"2025-03-04 00:00:00","2750 N 95TH ST, MILWAUKEE, WI, 53222-4509","Area Dark","2025-03-04 00:00:00","At least 4th night in a row area dark. No lights at all"
"2025-03-04 00:00:00","2519 E FERNWOOD AV, MILWAUKEE, WI, 53207-3024","Potholes","","Multiple potholes on Fernwood Ave between New York and Delaware"
"2025-03-04 00:00:00","1333 W NORTH AV, MILWAUKEE, WI, 53205-0000","Hanging Light Fixture Arm","2025-03-04 00:00:00","On the corner by teutonia"
"2025-03-04 00:00:00","2435 N 56TH ST, MILWAUKEE, WI, 53210-2231","Street Light Out","2025-03-04 00:00:00","Many are out on the street and I even noticed some out on an adjacent street. The area is dark."
"2025-03-04 00:00:00","1414 W LINCOLN AV, MILWAUKEE, WI, 53215-3144","Potholes","2025-03-05 00:00:00","Water break cut has settled pretty deep creating a really steep dip in the road."
"2025-03-04 00:00:00","925 S 25TH ST, MILWAUKEE, WI, 53204-1041","Rooming House","","The property is a rooming house for men 12 units, that is rented from Devoe Rentals Amy Orta-Feliciano who is responsible for health and safety of residence. The building is infested with roaches and mice. units 6,12, and 13 is a health hazard n unsafe, and yet she has the units occupied. mice, roaches, bedbugs and Garbage in side the units, this was brought to her attention since last year Nov. 2024 and she ignores the issue. its unfair and not right. I don't have pictures because I didn't no I was going to make a complaint, but I know this because I worked for her and her other units thru Devoe Rentals that have similar problem. I don't want my name involved. I just feel bad about all the renters because Amy don't care and its sad. Thank you for your time."
"2025-03-04 00:00:00","8340 W APPLETON AV, MILWAUKEE, WI, 53218-4578","Area Dark","","The intersection near Hmong Town grocery has at least 7 street lights that are not functioning. It is so dark in that intersection you cannot see anything at night. This is very very dangerous and I’m worried someone will be killed in a car accident. Please please please light up this intersection! It is way too busy to have this many lights out of order."
"2025-03-04 00:00:00","2867 N 72ND ST","Recycling Cart: Additional","",""
"2025-03-04 00:00:00","3046 N 9TH ST, MILWAUKEE, WI, 53206-3218","Scattered Litter and Debris on Private Property","2025-03-05 00:00:00","Loose litter/debris scattered"
"2025-03-04 00:00:00","2953 N 40TH ST, MILWAUKEE, WI, 53210-1809","Scattered Litter and Debris on Private Property","2025-03-05 00:00:00","Loose litter/debris scattered around the front and rear property"
"2025-03-04 00:00:00","3314 S 91ST ST, MILWAUKEE, WI, 53227-4408","Recycling Cart: Damaged","","Cart damaged when picked up today for request #16585403. One wheel sheered off, other barely attached. See pic. Left recycle cart and wheel at curb next to trash cart."
"2025-03-04 00:00:00","2965 N 40TH ST, MILWAUKEE, WI, 53210-1809","Scattered Litter and Debris on Private Property","2025-03-05 00:00:00","Loose litter/debris in the rear and front of the property"
"2025-03-03 00:00:00","2658 N LAKE DR, MILWAUKEE, WI, 53211-3837","City-Owned Building Trees","2025-03-03 00:00:00","A large branch from the city owned Locust tree fell down.  I cut it into small pieces and placed it in a pile at the curb.  Could you lease pick it up.  Thank you."
"2025-03-03 00:00:00","5132 N 47TH ST, MILWAUKEE, WI, 53218-4438","Garbage Cart: Missing","","Cart missing put in request last week Monday when it went missing and called Friday and a lady I spoke with told me they would send one I still have not received it"
"2025-03-03 00:00:00","5412 W LLOYD ST, MILWAUKEE, WI, 53208-1001","Missed Collection: Recycling","2025-03-03 00:00:00","Recycling was not collected for me or my neighbors on the 5400 block of W Lloyd St on the Friday, 2/28 collection date."
"2025-03-02 00:00:00","5874 N 67TH ST","Street Light Cycling","2025-03-02 00:00:00","Generalized outage of street lights"
"2025-03-02 00:00:00","1860 N ARLINGTON PL, MILWAUKEE, WI, 53202-1621","Bulky Pickup & San Inspector Notification","","One sleeper couch"
"2025-03-02 00:00:00","2108 N 51ST ST, MILWAUKEE, WI, 53208-1133","Missed Collection: Recycling","","Recycling bins haven’t been collected in over a month for the entire alleyway. Please pick up ASAP."
"2025-03-02 00:00:00","3293 N 48TH ST, MILWAUKEE, WI, 53216-3343","Street Light Out","2025-03-03 00:00:00","the street light on the north side of concordia between 48th and 49th streets is out...i requested service a few weeks ago but it seems the whole area went out...tranformers on my corner 48th and concordia...3293 n 48th  were both replaced friday 2/28 so maybe my earlier request was  not completed... anyway the light is out ... the address closest to the light is 4806 concordia"
"2025-03-02 00:00:00","7505 W LISBON AV, MILWAUKEE, WI, 53216-2746","Backwater","2025-03-02 00:00:00","BACKWATER IN BASEMENT"
"2025-03-02 00:00:00","3323 N ARGONNE DR, MILWAUKEE, WI, 53222-3419","Missed Collection: Garbage","2025-03-03 00:00:00","The truck skipped our entire street. Didn’t collect anyone’s cart on N. Argonne Dr."
"2025-03-02 00:00:00","6090 S 18TH ST, MILWAUKEE, WI, 53221-5006","Garbage Cart: Damaged","","Broken wheel from plow"
"2025-03-02 00:00:00","6090 S 18TH ST, MILWAUKEE, WI, 53221-5006","Bulky Pickup & San Inspector Notification","2025-03-03 00:00:00","Sectional couch and small coffee table"
"2025-03-02 00:00:00","4906 W LISBON AV","Potholes","","Catch basin has large sunken pavent in driving lane"
"2025-03-02 00:00:00","915 E HOMER ST, MILWAUKEE, WI, 53207-1878","Sewer Odor","","Sewer backup and sewage smell in our home."
"2025-03-02 00:00:00","1233 N 28TH ST, MILWAUKEE, WI, 53208-2913","Area Dark","2025-03-02 00:00:00","The lights on this stretch of 28th between Juneau and McKinley are out."
"2025-03-02 00:00:00","2827 W MC KINLEY BL, 3, MILWAUKEE, WI, 53208-0000","Area Dark","2025-03-02 00:00:00","The lights in this block of McKinley are out."
"2025-03-02 00:00:00","5215 W TOWNSEND ST, MILWAUKEE, WI, 53216-3279","Garbage Cart: Additional","","Request for additional garbage cart"
"2025-03-02 00:00:00","5619 A S 30TH ST, MILWAUKEE, WI, 53221-4135","Street Light Out","2025-03-03 00:00:00","The entire neighborhood lights are out."
"2025-03-02 00:00:00","5215 W TOWNSEND ST, MILWAUKEE, WI, 53216-3279","Recycling Cart: Additional","","We recycle a lot and need another bin, please"
"2025-03-02 00:00:00","3800 W HIGHLAND BL, MILWAUKEE, WI, 53208-0000","Bike Lane Delineator(s) Knocked Down","2025-03-02 00:00:00",""
"2025-03-02 00:00:00","1931 W CARRINGTON AV, MILWAUKEE, WI, 53221-5233","Other Miscellaneous Electrical Services Request","2025-03-03 00:00:00","Street lighting box on Southeast corner of 20th and Carrington is open. bottom of box with wires exposed."
"2025-03-02 00:00:00","2636 S 65TH ST, MILWAUKEE, WI, 53219-2645","Garbage Cart: Damaged","","DPW left a note on my garbage cart to request a new cart after the handle was damaged during a service."
"2025-03-01 00:00:00","445 N BROADWAY, MILWAUKEE, WI, 53202-0000","INFO ONLY: Parking Violations Information","2025-03-01 00:00:00","Unable to leave public market, street parking.  Owner moved vehicle right before entering complaint."
"2025-03-01 00:00:00","5800 N 68TH ST, MILWAUKEE, WI, 53218-1808","Bulky Pickup & San Inspector Notification","2025-03-03 00:00:00",""
"2025-03-01 00:00:00","2911 S 32ND ST, MILWAUKEE, WI, 53215-3616","Other Miscellaneous Forestry Request","","The school does not pick up their leaves along the south and west sides of the property. I have lived down the road in this neighborhood for four years and every year the leaves pile-up along the sidewalk and alley. It is a nuisance for many reasons including that it makes the area look messy, it attracts garbage, people let their dogs poop all over it. I’ve also seen dead rodents buried in the leaves. I’d like my children to be able to play in the vicinity without being concerned about it. Also, In the winter, this area becomes a muddy mess and it’s so unnecessary if the school would just pick up these leaves year-round. I’ve attempted to contact the school directly but they do not have a public email that I could find."
"2025-03-01 00:00:00","4800 N PORT WASHINGTON RD","Settlement","","2 manhole covers have settled several inches"
"2025-03-01 00:00:00","2735 S FULTON ST, MILWAUKEE, WI, 53207-2247","Garbage Cart: Additional","",""
"2025-03-01 00:00:00","2937 N 12TH ST, MILWAUKEE, WI, 53206-2618","Recycling Supervisor Notification","","Driver just drove by and didnt collect bin."
"2025-03-01 00:00:00","1217 E KANE PL, MILWAUKEE, WI, 53202-1630","Other Miscellaneous Electrical Services Request","2025-03-02 00:00:00","Electrical box on bottom of street light pole is open and exposed."
"2025-03-01 00:00:00","1915 S 16TH ST, MILWAUKEE, WI, 53204-3711","Missed Collection: Recycling","","1915 S 16 and 1911 S 16th st recycle garbage collection missed"
"2025-03-01 00:00:00","2932 N 7TH ST, MILWAUKEE, WI, 53212-2339","Street Light Out","","Street light in front of 2932 n 7th street milwaukee 53212 is out."
"2025-03-01 00:00:00","4046 N 14TH ST, MILWAUKEE, WI, 53209-6955","Garbage Cart: Missing","","Garage can is missing"
"2025-03-01 00:00:00","3641 S 24TH ST, MILWAUKEE, WI, 53221-1421","Recycling Cart Collection Request: Cart Not at Collection Point","","Request for pickup"
"2025-03-01 00:00:00","915 E KEWAUNEE ST, MILWAUKEE, WI, 53202-2113","Garbage Cart Not Returned to Storage Location","","Garbage and recycling cart at curb for days. It is Saturday.  The collection day was Tuesday."
"2025-03-01 00:00:00","1657 N ASTOR ST, MILWAUKEE, WI, 53202-0000","Garbage Cart Not Returned to Storage Location","","Garbage carts out at curb for days on Kewaunee side.  Lids off with garbage blowing Dow the street."
"2025-03-01 00:00:00","1647 N ASTOR ST, MILWAUKEE, WI, 53202-2107","Garbage Cart Not Returned to Storage Location","","Garbage and recycling carts at curb for days.  Saturday today and collection was on Tuesday.  Kewaunee side of property. One cart tipped with garbage blowing around the neighborhood."
"2025-03-01 00:00:00","3360 N 94TH ST","Bulky Pickup & San Inspector Notification","","Mattress pick up"
"2025-03-01 00:00:00","1735 S 23RD ST, MILWAUKEE, WI, 53204-3010","Scattered Litter and Debris on Private Property","","Upstairs tenant is throwing their loose garbage out the window onto the roof of the property. Visible trash strewn on the roof of the west side of the property."
"2025-03-01 00:00:00","2932 S 15TH PL, MILWAUKEE, WI, 53215-3719","Street Light Out","2025-03-01 00:00:00","The street light is been out for a week"
"2025-03-01 00:00:00","1747 S 25TH ST, 1, MILWAUKEE, WI, 53204-3041","Electronic Waste","","Large TV set out at collection point in alley."
"2025-03-01 00:00:00","1400 S 9TH ST, MILWAUKEE, WI, 53204-2833","Garbage Cart: Additional","","MFD station 23 is requesting 2 garbage carts please."
"2025-03-01 00:00:00","1400 S 9TH ST, MILWAUKEE, WI, 53204-2833","Recycling Cart: Additional","","MFD Station 23 is requesting 3 recycling carts please."
"2025-03-01 00:00:00","2939 S 50TH ST, MILWAUKEE, WI, 53219-3319","Recycling Cart: New Customer","","Just moved into 2939 s 50th st and there is no carts thank you."
"2025-03-01 00:00:00","2635 S 12TH ST, MILWAUKEE, WI, 53215-3334","Construction Concerns","","Water leaking"
"2025-03-01 00:00:00","811 N PLANKINTON AV, MILWAUKEE, WI, 53203-0000","Sidewalk Repair","","This platform above the vaulted sidewalk looks like it’s going to fail soon—should be inspected immediately. Could be a critical safety hazard."
"2025-03-01 00:00:00","4205 S 20TH ST, MILWAUKEE, WI, 53221-2353","Special Pickup - Accident Debris","","MPD requesting accident debris clean up"
"2025-03-01 00:00:00","811 N HAWLEY RD, MILWAUKEE, WI, 53213-3219","Bump in City Street or Alley","",""
"2025-03-01 00:00:00","1377 A N HAWLEY RD, MILWAUKEE, WI, 53208-2110","Settlement","",""
"2025-03-01 00:00:00","3364 N 54TH ST, MILWAUKEE, WI, 53216-3110","Large Items Discarded on Private Property","","there is ton of discarded large items as well as garbage bags being torn open by critters. side of house, back yard and ally in front of garage."
"2025-03-01 00:00:00","2234 W LAWN AV, MILWAUKEE, WI, 53209-5046","Missed Collection: Garbage","","HARDSHIP Service, Garbage was not picked up on Thursday Feb 27th."
"2025-03-01 00:00:00","3409 S 56TH ST","Broken Branch Down - Not Blocking","","A few branches came down onto the street and I moved the pieces onto the curb. Some are long, some are thicker. Photos included"
"2025-03-01 00:00:00","8620 W FOND DU LAC AV, MILWAUKEE, WI, 53225-2013","*Field Only* Illegal Dumping","","please pick up old mattress and other items that were dump by road side"
"2025-03-01 00:00:00","6054 N 36TH ST, MILWAUKEE, WI, 53209-3606","Recycling Cart: New Customer","",""
"2025-03-01 00:00:00","922 W MONTANA ST, MILWAUKEE, WI, 53215-3966","Bulky Pickup & San Inspector Notification","","Box full of garbage, some plastic garbage bags, and an old massage bed."
"2025-03-01 00:00:00","1742 S 16TH ST, MILWAUKEE, WI, 53204-3104","Sidewalk Repair","","I have a property next to it, and this is been an issue since last year before winter"
"2025-03-01 00:00:00","3237 N BOOTH ST, MILWAUKEE, WI, 53212-2135","Missed Collection: Recycling","","Recycling has not been picked up for 2 weeks."
"2025-03-01 00:00:00","4205 S 20TH ST, MILWAUKEE, WI, 53221-2353","Special Pickup - Accident Debris","","Debris goes from corner to south 4211"
"2025-03-01 00:00:00","7201 W LIMA ST, MILWAUKEE, WI, 53223-5738","Missed Collection: Garbage","","Put in request for garbage pick up 2/27/25 because missed cans issue number #16574201 still hasn't been picked up"
"2025-02-28 00:00:00","1500 W CAPITOL DR","Settlement","2025-02-28 00:00:00","Depression around manhole cover, westbound lane."
"2025-02-28 00:00:00","1602 W CAPITOL DR","Settlement","2025-02-28 00:00:00","Depression around manhole cover, westbound lane."
"2025-02-28 00:00:00","1704 W CAPITOL DR","Settlement","2025-02-28 00:00:00","Depression around manhole cover, westbound lane."
"2025-02-28 00:00:00","1802 W CAPITOL DR","Settlement","2025-02-28 00:00:00","Depression around manhole cover, westbound lane."
"2025-02-28 00:00:00","1910 W CAPITOL DR","Settlement","2025-02-28 00:00:00","1900 W Capitol Drive, Depression around manhole cover, westbound lane."
"2025-02-28 00:00:00","7601 W CAPITOL DR","Miscellaneous Street Maintenance Request","2025-02-28 00:00:00","The left turn signal arrow at 76th and Capitol (westbound lane of Capitol) is difficult to see before sunset because of the angle of the sun."
"2025-02-28 00:00:00","3100 W CAPITOL DR, MILWAUKEE, WI, 53216-2620","Miscellaneous Street Maintenance Request","2025-02-28 00:00:00","Manhole cover in westbound lane (southernmost of the two westbound lanes) is too far below street level, not a pothole but deep like one."
"2025-02-28 00:00:00","5156 N 58TH ST, MILWAUKEE, WI, 53218-4250","Missed Collection: Recycling","","Earlier this week, the planned collection for recycle cart was Feb 27 to Mar 4. It now shows Mar 17 to Mar 20.  It's not even a missed collection. It's a skipped collection."
"2025-02-28 00:00:00","6225 W HARRISON AV, MILWAUKEE, WI, 53219-2667","Area Dark","2025-02-28 00:00:00",""
"2025-02-28 00:00:00","2377 N 57TH ST, MILWAUKEE, WI, 53210-2202","Area Dark","2025-02-28 00:00:00","57th from North to Lisbon have been dark for three nights now, please fix"
"2025-02-28 00:00:00","2234 W LAWN AV, MILWAUKEE, WI, 53209-5046","Garbage Cart: Missing","","missed pickup 2/27/2025"
"2025-02-28 00:00:00","3772 S MASSACHUSETTS AV","Street Light Out","2025-03-01 00:00:00","Street light between 3772 and 3778 S Massachusetts Ave. is not working."
"2025-02-28 00:00:00","301 S 70TH ST","Potholes","","Multiple potholes"
"2025-02-28 00:00:00","100 ADJ N 32ND ST","Settlement","","Manhole cover has settled 3-5"
"2025-02-28 00:00:00","3809 S LOGAN AV, MILWAUKEE, WI, 53207-3947","Missed Collection: Recycling","2025-02-28 00:00:00","There was snow when our recycling was supposed to be picked up and then it just never was after the snow was long gone. Once again, the cart has been where it’s supposed to be and it’s beyond full. This can’t keep happening. It’s not right."
"2025-02-28 00:00:00","2307 W MITCHELL ST, MILWAUKEE, WI, 53204-3024","Scattered Litter and Debris on Private Property","","loose debris on private property"
"2025-02-28 00:00:00","2321 W MITCHELL ST, MILWAUKEE, WI, 53204-3024","Scattered Litter and Debris on Private Property","","loose debris on private property"
"2025-02-28 00:00:00","4700 N 18TH ST, MILWAUKEE, WI, 53209-6431","Missed Collection: Garbage","","at the curb since Monday"
"2025-02-28 00:00:00","1718 S 24TH ST, MILWAUKEE, WI, 53204-3001","Scattered Litter and Debris on Private Property","","loose debris on private property, especially in the rear of the house"
"2025-02-28 00:00:00","6719 N 80TH ST, MILWAUKEE, WI, 53223-5505","Garbage Cart: Damaged","","1-family, billed for 2nd g-cart. 1 of 2 g-carts lid is cracked, mostly broken off, since pickup today."
"2025-02-27 00:00:00","900 W WALNUT ST","Street Light Out","2025-02-27 00:00:00","Hello, W. Walnut St is dark from 6th to 10th. Also no street lights working on Galena and 9th St in that same area. Thanks for looking into it."
"2025-02-27 00:00:00","8001 W BLUE MOUND RD","Street Light Out","2025-02-28 00:00:00","The street lights from Honey Creek Parkway & Bluemound Road to Honey Creek Parkway and 84th St are out on both sides of the street."
"2025-02-27 00:00:00","8108 W POTOMAC AV, MILWAUKEE, WI, 53218-4565","Street Light Out","2025-02-27 00:00:00","Streetlight has been out since Sunday February 23, 2025"
"2025-02-27 00:00:00","1307 W BROWN ST, MILWAUKEE, WI, 53205-0000","Alley Light Out","2025-02-28 00:00:00","Brown St; Lloyd St; 12th St; 14th St"
"2025-02-27 00:00:00","6420 W DODGE PL, MILWAUKEE, WI, 53220-1868","Recycling Supervisor Notification","2025-02-28 00:00:00","crews went thru at 6:30, callers cart was not out until they were 2 houses down"
"2025-02-27 00:00:00","5340 N 69TH ST, MILWAUKEE, WI, 53218-2903","INFO ONLY: Garbage Collection Day Information Request","2025-02-27 00:00:00",""
"2025-02-27 00:00:00","5340 N 69TH ST, MILWAUKEE, WI, 53218-2903","INFO ONLY: Recycling Collection Day Information Request","2025-02-27 00:00:00",""
"2025-02-27 00:00:00","5340 N 69TH ST, MILWAUKEE, WI, 53218-2903","INFO ONLY: Miscellaneous Information Request","2025-02-27 00:00:00","milwaukee.gov/collectionday"
"2025-02-27 00:00:00","6635 W WARNIMONT AV, MILWAUKEE, WI, 53220-1345","Missed Collection: Recycling","2025-02-28 00:00:00","hardship missed today, caller watched crew go thru at 6:15."
"2025-02-27 00:00:00","6635 W WARNIMONT AV, MILWAUKEE, WI, 53220-1345","Garbage Supervisor Notification","2025-02-27 00:00:00","caller has hardship but never got stickers"
"2025-02-27 00:00:00","5061 N 25TH ST, MILWAUKEE, WI, 53209-5642","INFO ONLY: Garbage Collection Day Information Request","2025-02-27 00:00:00","3 wks of no collection"
"2025-02-27 00:00:00","7233 W CHAMBERS ST, MILWAUKEE, WI, 53210-1102","Broken Branch Down - Not Blocking","2025-02-27 00:00:00","limb on curblawn, not blocking from city tree"
"2025-02-27 00:00:00","2108 N HUBBARD ST, MILWAUKEE, WI, 53212-3342","Parking on Unapproved Surface, Private Property","2025-02-27 00:00:00","PARKING ON GRASS"
"2025-02-27 00:00:00","135 N 76TH ST, MILWAUKEE, WI, 53213-3560","All Other Signs","","N 76th and Stevenson Crosswalk sign and pole laying on the ground for weeks"
